"";"sku_item_set";"supplier_product_number";"supplier_product_name";"quantity";"supplier";"npp";"supplier_currency";"ppp";"ppp_original";"net_weight";"supplier_ean";"customs_id";"inbound_transport_costs";"payment_days";"eco_tax_incl_ppp";"quantity_supplier_product";"eco_mobilier_code";"eco-tax_amount";"ignore_line"
"";"DE16RDC05-101-A";"4343541";"DWL Öllaterne, 32,5 cm";"1";"Rosendahl";"59.14";"EUR";"59.14";"59.14";"1000";"5706422100995";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-102-A";"4343532";"DWL Hängeschale, 14 cm";"1";"Rosendahl";"20.86";"EUR";"20.86";"20.86";"600";"5705140257523";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-103-A";"4343533";"DWL Haken";"1";"Rosendahl";"12.16";"EUR";"12.16";"12.16";"170";"5705140257950";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-104-A";"4343508";"DWL Laterne mit Lederhenkel, weiss, H 16 cm";"1";"Rosendahl";"19.12";"EUR";"19.12";"19.12";"400";"5706422910747";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-105-A";"4343507";"DWL Laterne mit Lederhenkel, weiss, H 25 cm";"1";"Rosendahl";"27.82";"EUR";"27.82";"27.82";"700";"5706422910730";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-106-A";"4343506";"DWL Laterne mit Lederhenkel, weiss, H 29 cm";"1";"Rosendahl";"34.78";"EUR";"34.78";"34.78";"900";"5706422910723";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-107-A";"4343512";"DWL Laterne mit Lederhenkel, weiss, H 45 cm";"1";"Rosendahl";"76.54";"EUR";"76.54";"76.54";"2800";"5706422910914";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-108-A";"4343502";"DWL Laterne mit Lederhenkel, klar, H 16 cm";"1";"Rosendahl";"15.64";"EUR";"15.64";"15.64";"400";"5706422001568";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-109-A";"4343501";"DWL Laterne mit Lederhenkel, klar, H 25 cm";"1";"Rosendahl";"23.30";"EUR";"23.30";"23.30";"700";"5706422001551";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-110-A";"4343500";"DWL Laterne mit Lederhenkel, klar, H 29 cm";"1";"Rosendahl";"27.82";"EUR";"27.82";"27.82";"900";"5706422001544";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-111-A";"4343511";"DWL Laterne mit Lederhenkel, klar, H 45 cm";"1";"Rosendahl";"69.58";"EUR";"69.58";"69.58";"2800";"5706422910907";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-112-A";"4343525";"DWL Glasschale mit Lederhenkel, weiss, H 10 cm";"1";"Rosendahl";"13.90";"EUR";"13.90";"13.90";"400";"5706422999292";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-113-A";"4343526";"DWL Glasschale mit Lederhenkel, weiss, H 12 cm";"1";"Rosendahl";"18.77";"EUR";"18.77";"18.77";"550";"5706422999308";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-114-A";"4343527";"DWL Glasschale mit Lederhenkel, weiss, H 16 cm";"1";"Rosendahl";"22.60";"EUR";"22.60";"22.60";"880";"5706422999315";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-115-A";"4343516";"DWL Glasschale mit Lederhenkel, klar, H 10 cm";"1";"Rosendahl";"12.16";"EUR";"12.16";"12.16";"380";"";"";"0";"60";"";"";"";"";"1"
"";"DE16RDC05-116-A";"4343517";"DWL Glasschale mit Lederhenkel, klar, H 12 cm";"1";"Rosendahl";"16.34";"EUR";"16.34";"16.34";"550";"5706422911232";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-117-A";"4343518";"DWL Glasschale mit Lederhenkel, klar, H 16 cm";"1";"Rosendahl";"20.86";"EUR";"20.86";"20.86";"880";"5706422911249";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-118-A";"4343509";"DWL Kerzenleuchter";"1";"Rosendahl";"22.60";"EUR";"22.60";"22.60";"100";"5706422910808";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-119-A";"4343520";"DWL Teelicht";"1";"Rosendahl";"16.34";"EUR";"16.34";"16.34";"400";"5706422999285";"";"0";"60";"";"";"";"";"0"
